Phantom Group,Sex,Compound Organ,Acronym,Constituent Organ IDs,Reference Mass (g),Phantom Mass (g),% Error
ICRP145_RESIZED,Male,Pancreas,Pancreas,11300,153.6366754934898,153.6366754934898,0.0
ICRP145_RESIZED,Male,Prostate,Prostate,11500,15.589316664667244,15.589316664667244,0.0
ICRP145_RESIZED,Male,Small intestine wall,SI-wall,7400_7401_7402_7403,763.2666712941111,763.2666712941111,0.0
ICRP145_RESIZED,Male,Stem cells of small intestine,SI-stem,7401,2.0036706624923166,2.0036706624923166,0.0
ICRP145_RESIZED,Male,Spleen,Spleen,12700,202.09844362466902,202.09844362466902,0.0
ICRP145_RESIZED,Male,Thymus,Thymus,13100,22.925457109594,22.925457109594,0.0
ICRP145_RESIZED,Male,Uterus/cervix,Uterus,13900,0.0,0.0,
ICRP145_RESIZED,Male,Tongue,Tongue,500_13300_13301,69.83176720910029,69.83176720910029,0.0
ICRP145_RESIZED,Male,Tonsils,Tonsils,13400,2.900397931324652,2.900397931324652,0.0
ICRP145_RESIZED,Male,Right colon wall (ascending + right transverse),RC-wall,7600_7601_7602_7800_7801_7802,176.86413096017506,176.86413096017506,0.0
ICRP145_RESIZED,Male,Left colon wall (left transverse + descending),LC-wall,8000_8001_8002_8200_8201_8202,176.86415374530185,176.86415374530185,0.0
ICRP145_RESIZED,Male,Rectosigmoid colon wall (sigmoid + rectum),RS-wall,8400_8401_8402_8600,82.53472630837805,82.53472630837805,0.0
ICRP145_RESIZED,Male,Stem cells of right colon (ascending + right transverse),RC-stem,7601_7801,0.453006606283195,0.453006606283195,0.0
ICRP145_RESIZED,Male,Stem cells of left colon (left transverse + descending),LC-stem,8001_8201,0.36127799667279303,0.36127799667279303,0.0
ICRP145_RESIZED,Male,Stem cells of rectosigmoid colon (sigmoid + rectum),RSig-stem,8401,0.28629542838656874,0.28629542838656874,0.0
ICRP145_RESIZED,Male,Basal cells of anterior nasal passages,ET1-bas,302,0.026311444646383204,0.026311444646383204,0.0
ICRP145_RESIZED,Male,Basal cells of posterior nasal passages + pharynx,ET2-bas,402,0.0902278602647502,0.0902278602647502,0.0
ICRP145_RESIZED,Male,Extrathoracic lymph nodes,LN-ET,10000,14.81599759293954,14.81599759293954,0.0
ICRP145_RESIZED,Male,Bronchi basal cells,Bronch-bas,804_805,0.06948528104251393,0.06948528104251393,0.0
ICRP145_RESIZED,Male,Bronchi secretory cells,Bronch-sec,803_804,0.13853603928044378,0.13853603928044378,0.0
