Phantom Group,Sex,Quantity,Organ ID,Organ/tissue,Reference (cm or g),Value (cm or g),% Error
ICRP145,Female,Organ,1100,"Blood in large arteries, arms",0.0,46.312498622530356,
ICRP145,Female,Organ,1110,"Blood in large veins, arms",0.0,139.52789271135924,
ICRP145,Female,Organ,1200,"Blood in large arteries, legs",0.0,79.90579478361157,
ICRP145,Female,Organ,1210,"Blood in large veins, legs",0.0,355.61214192163374,
ICRP145,Female,Organ,1300,"Humeri, upper, cortical",193.24730062085052,113.68141739457418,-41.17308907842593
ICRP145,Female,Organ,1400,"Humeri, upper, spongiosa",95.94336760544012,107.71748525675636,12.271945362327095
ICRP145,Female,Organ,1500,"Humeri, upper, medullary cavity",36.526539479581984,20.516234874057776,-43.83197760760728
ICRP145,Female,Organ,1600,"Humeri, lower, cortical",0.0,103.29563257901161,
ICRP145,Female,Organ,1700,"Humeri, lower, spongiosa",44.769956985398146,50.264101793420636,12.271945692988764
ICRP145,Female,Organ,1800,"Humeri, lower, medullary cavity",0.0,20.49282148673207,
ICRP145,Female,Organ,1900,"Ulnae and radii, cortical",139.57919439424796,156.7082606463714,12.271933740885183
ICRP145,Female,Organ,2000,"Ulnae and radii, spongiosa",77.38599722080703,86.88276399941033,12.271944692404732
ICRP145,Female,Organ,2100,"Ulnae and radii, medullary cavity",30.3443563001217,34.06820067408791,12.271950464644647
ICRP145,Female,Organ,2200,"Wrists and hand bones, cortical",93.64006536917407,105.13154834324298,12.27197239639248
ICRP145,Female,Organ,2300,"Wrists and hand bones, spongiosa",61.77877050186059,69.36022515983421,12.27194163364791
ICRP145,Female,Organ,2400,"Clavicles, cortical",29.262017967304722,32.82525023736568,12.176987499776187
ICRP145,Female,Organ,2500,"Clavicles, spongiosa",34.580868456351084,38.798220569746626,12.195622324288353
ICRP145,Female,Organ,2600,"Cranium, cortical",385.5631665799589,407.67002259585036,5.733653505334752
ICRP145,Female,Organ,2700,"Cranium, spongiosa",368.92548590690365,391.31146558049954,6.067886478096252
ICRP145,Female,Organ,2800,"Femora, upper, cortical",412.0076762886126,244.12628134535433,-40.74715220248878
ICRP145,Female,Organ,2900,"Femora, upper, spongiosa",205.1783646869525,232.8040702002445,13.464239056316416
ICRP145,Female,Organ,3000,"Femora, upper, medullary cavity",81.16596116594185,39.51633699157236,-51.31415137093964
ICRP145,Female,Organ,3100,"Femora, lower, cortical",0.0,240.92941448164257,
ICRP145,Female,Organ,3200,"Femora, lower, spongiosa",144.4334560562011,166.33369447504825,15.162857011692262
ICRP145,Female,Organ,3300,"Femora, lower, medullary cavity",0.0,56.762126630484545,
ICRP145,Female,Organ,3400,"Tibiae, fibulae, and patellae, cortical",493.9394014058951,544.8452248227562,10.306086793636695
ICRP145,Female,Organ,3500,"Tibiae, fibulae, and patellae, spongiosa",505.05497614149635,558.5291489631189,10.587792487493724
ICRP145,Female,Organ,3600,"Tibiae, fibulae, and patellae, medullary cavity",81.04754748706709,88.88342749908533,9.668250619512728
ICRP145,Female,Organ,3700,"Ankles and foot, cortical",166.22924931147367,173.47574701871653,4.359339729474848
ICRP145,Female,Organ,3800,"Ankles and foot, spongiosa",246.60655367397058,257.4510646483038,4.397495043327345
ICRP145,Female,Organ,3900,"Mandible, cortical",41.61903666337843,45.394099874614305,9.070520400962671
ICRP145,Female,Organ,4000,"Mandible, spongiosa",30.64089130675969,33.47875705671152,9.26169451645739
ICRP145,Female,Organ,4100,"Pelvis, cortical",233.77205355739343,262.45763007538216,12.27074668741194
ICRP145,Female,Organ,4200,"Pelvis, spongiosa",405.79911228028556,455.5985822992558,12.271951443938526
ICRP145,Female,Organ,4300,"Ribs, cortical",146.52705765494983,164.50399078257593,12.268678164519752
ICRP145,Female,Organ,4400,"Ribs, spongiosa",247.01172627310714,277.3248898477021,12.271953251757513
ICRP145,Female,Organ,4500,"Scapulae, cortical",108.38469129549162,121.66439609152938,12.252380513621619
ICRP145,Female,Organ,4600,"Scapulae, spongiosa",86.16200582785456,96.7301388038725,12.26542125438945
ICRP145,Female,Organ,4700,"Cervical spine, cortical",65.29128173114489,71.59649605583554,9.657053985636452
ICRP145,Female,Organ,4800,"Cervical spine, spongiosa",68.8796009356445,75.60121987196192,9.758504470137023
ICRP145,Female,Organ,4900,"Thoracic spine, cortical",183.32968132242632,205.8277997231691,12.271945403742235
ICRP145,Female,Organ,5000,"Thoracic spine, spongiosa",242.19362180268075,271.9154945745766,12.271946945040014
ICRP145,Female,Organ,5100,"Lumbar spine, cortical",139.1041497328945,156.17492211779833,12.27193611238977
ICRP145,Female,Organ,5200,"Lumbar spine, spongiosa",236.01226296756053,264.9755764768744,12.271952798187781
ICRP145,Female,Organ,5300,"Sacrum, cortical",71.46974118457116,80.24045854089545,12.27193104515915
