Table D.1  -  Photon Dose Response Functions for Regional Absorbed Dose in the Skeletal Tissues of the ICRP Reference Phantoms (Gy m2),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Organ ID:  14,,,Organ ID:  15,,,Organ ID:  17,,,Organ ID:  18,,,Organ ID:  20,,,Organ ID:  21,,,Organ ID:  23,,,,,
,"Humeri, upper half",,,"Humeri, upper half",,,"Humeri, lower half",,,"Humeri, lower half",,,Ulnae and Radii,,,Ulnae and Radii,,,Wrist and Hands,,,,,
Photon,Source: spongiosa,,,Source: medullary cavity,,,Source: spongiosa,,,Source: medullary cavity,,,Source: spongiosa,,,Source: medullary cavity,,,Source: spongiosa,,,,,
Energy,Target Tissue,,,Target Tissue,,,Target Tissue,,,Target Tissue,,,Target Tissue,,,Target Tissue,,,Target Tissue,,,,,
(MeV),AM,TM50,,AM,TM50,,AM,TM50,,AM,TM50,,AM,TM50,,AM,TM50,,AM,TM50,,,,
0.40,NA,2.10E-16,,NA,2.07E-16,,2.08E-16,2.08E-16,,2.07E-16,2.07E-16,,2.07E-16,2.07E-16,,2.06E-16,2.06E-16,,2.06E-16,2.06E-16,,,,
0.50,NA,2.65E-16,,NA,2.61E-16,,2.61E-16,2.61E-16,,2.61E-16,2.61E-16,,2.60E-16,2.60E-16,,2.60E-16,2.60E-16,,2.59E-16,2.59E-16,,,,
0.60,NA,3.17E-16,,NA,3.11E-16,,3.12E-16,3.12E-16,,3.12E-16,3.12E-16,,3.11E-16,3.11E-16,,3.10E-16,3.10E-16,,3.09E-16,3.09E-16,,,,
0.80,NA,4.12E-16,,NA,4.05E-16,,4.07E-16,4.07E-16,,4.06E-16,4.06E-16,,4.05E-16,4.05E-16,,4.04E-16,4.04E-16,,4.02E-16,4.02E-16,,,,
1.0,NA,4.99E-16,,NA,4.90E-16,,4.92E-16,4.92E-16,,4.91E-16,4.91E-16,,4.90E-16,4.90E-16,,4.89E-16,4.89E-16,,4.87E-16,4.87E-16,,,,
1.5,NA,6.86E-16,,NA,6.73E-16,,6.76E-16,6.76E-16,,6.74E-16,6.74E-16,,6.72E-16,6.72E-16,,6.71E-16,6.71E-16,,6.68E-16,6.68E-16,,,,
2.0,NA,8.41E-16,,NA,8.27E-16,,8.30E-16,8.30E-16,,8.28E-16,8.28E-16,,8.26E-16,8.26E-16,,8.24E-16,8.24E-16,,8.21E-16,8.21E-16,,,,
3.0,NA,1.10E-15,,NA,1.09E-15,,1.09E-15,1.09E-15,,1.09E-15,1.09E-15,,1.09E-15,1.09E-15,,1.09E-15,1.09E-15,,1.08E-15,1.08E-15,,,,
4.0,NA,1.33E-15,,NA,1.32E-15,,1.32E-15,1.32E-15,,1.32E-15,1.32E-15,,1.32E-15,1.32E-15,,1.32E-15,1.32E-15,,1.32E-15,1.32E-15,,,,
5.0,NA,1.54E-15,,NA,1.54E-15,,1.54E-15,1.54E-15,,1.54E-15,1.54E-15,,1.54E-15,1.54E-15,,1.54E-15,1.54E-15,,1.54E-15,1.54E-15,,,,
6.0,NA,1.74E-15,,NA,1.75E-15,,1.75E-15,1.75E-15,,1.75E-15,1.75E-15,,1.75E-15,1.75E-15,,1.75E-15,1.75E-15,,1.76E-15,1.76E-15,,,,
8.0,NA,2.13E-15,,NA,2.17E-15,,2.16E-15,2.16E-15,,2.16E-15,2.16E-15,,2.17E-15,2.17E-15,,2.17E-15,2.17E-15,,2.18E-15,2.18E-15,,,,
10.0,NA,2.52E-15,,NA,2.59E-15,,2.58E-15,2.58E-15,,2.59E-15,2.59E-15,,2.60E-15,2.60E-15,,2.61E-15,2.61E-15,,2.62E-15,2.62E-15,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Organ ID:  50,,,Organ ID:  52,,,Organ ID:  54,,,Organ ID:  56,,,,,,,,,,,,,,
,"Spine, Thoracic",,,"Spine, Lumbar",,,Sacrum,,,Sternum,,,,,,,,,,,,,,
Photon,Source: spongiosa,,,Source: spongiosa,,,Source: spongiosa,,,Source: spongiosa,,,,,,,,,,,,,,
Energy,Target Tissue,,,Target Tissue,,,Target Tissue,,,Target Tissue,,,,,,,,,,,,,,
(MeV),AM,TM50,,AM,TM50,,AM,TM50,,AM,TM50,,,,,,,,,,,,,
0.010,6.16E-16,6.04E-16,,6.17E-16,5.65E-16,,6.17E-16,5.44E-16,,6.16E-16,5.73E-16,,,,,,,,,,,,,
0.015,2.60E-16,2.74E-16,,2.61E-16,2.57E-16,,2.61E-16,2.47E-16,,2.60E-16,2.61E-16,,,,,,,,,,,,,
0.020,1.41E-16,1.62E-16,,1.41E-16,1.51E-16,,1.41E-16,1.45E-16,,1.41E-16,1.54E-16,,,,,,,,,,,,,
0.030,6.18E-17,8.57E-17,,6.20E-17,8.01E-17,,6.22E-17,7.69E-17,,6.18E-17,8.08E-17,,,,,,,,,,,,,
0.040,3.86E-17,6.11E-17,,3.88E-17,5.75E-17,,3.89E-17,5.47E-17,,3.86E-17,5.76E-17,,,,,,,,,,,,,
0.050,3.08E-17,5.14E-17,,3.10E-17,4.82E-17,,3.11E-17,4.61E-17,,3.08E-17,4.84E-17,,,,,,,,,,,,,
0.060,2.89E-17,4.73E-17,,2.91E-17,4.44E-17,,2.92E-17,4.26E-17,,2.89E-17,4.47E-17,,,,,,,,,,,,,
0.080,3.27E-17,4.68E-17,,3.28E-17,4.39E-17,,3.29E-17,4.21E-17,,3.27E-17,4.43E-17,,,,,,,,,,,,,
0.10,4.06E-17,5.07E-17,,4.07E-17,4.75E-17,,4.08E-17,4.57E-17,,4.06E-17,4.79E-17,,,,,,,,,,,,,
0.15,6.60E-17,7.07E-17,,6.61E-17,6.64E-17,,6.62E-17,6.73E-17,,6.59E-17,6.70E-17,,,,,,,,,,,,,
0.20,9.46E-17,9.46E-17,,9.46E-17,9.46E-17,,9.47E-17,9.47E-17,,9.46E-17,9.46E-17,,,,,,,,,,,,,
0.30,1.51E-16,1.51E-16,,1.51E-16,1.51E-16,,1.51E-16,1.51E-16,,1.51E-16,1.51E-16,,,,,,,,,,,,,
0.40,2.07E-16,2.07E-16,,2.07E-16,2.07E-16,,2.07E-16,2.07E-16,,2.07E-16,2.07E-16,,,,,,,,,,,,,
0.50,2.61E-16,2.61E-16,,2.60E-16,2.60E-16,,2.60E-16,2.60E-16,,2.61E-16,2.61E-16,,,,,,,,,,,,,
0.60,3.11E-16,3.11E-16,,3.11E-16,3.11E-16,,3.11E-16,3.11E-16,,3.12E-16,3.12E-16,,,,,,,,,,,,,
0.80,4.05E-16,4.05E-16,,4.05E-16,4.05E-16,,4.04E-16,4.04E-16,,4.06E-16,4.06E-16,,,,,,,,,,,,,
1.0,4.91E-16,4.91E-16,,4.91E-16,4.91E-16,,4.90E-16,4.90E-16,,4.92E-16,4.92E-16,,,,,,,,,,,,,
1.5,6.73E-16,6.73E-16,,6.73E-16,6.73E-16,,6.72E-16,6.72E-16,,6.74E-16,6.74E-16,,,,,,,,,,,,,
2.0,8.28E-16,8.28E-16,,8.27E-16,8.27E-16,,8.26E-16,8.26E-16,,8.29E-16,8.29E-16,,,,,,,,,,,,,
3.0,1.09E-15,1.09E-15,,1.09E-15,1.09E-15,,1.09E-15,1.09E-15,,1.09E-15,1.09E-15,,,,,,,,,,,,,
4.0,1.32E-15,1.32E-15,,1.32E-15,1.32E-15,,1.32E-15,1.32E-15,,1.32E-15,1.32E-15,,,,,,,,,,,,,
5.0,1.54E-15,1.54E-15,,1.54E-15,1.54E-15,,1.54E-15,1.54E-15,,1.54E-15,1.54E-15,,,,,,,,,,,,,
6.0,1.75E-15,1.75E-15,,1.75E-15,1.75E-15,,1.75E-15,1.75E-15,,1.75E-15,1.75E-15,,,,,,,,,,,,,
8.0,2.17E-15,2.17E-15,,2.17E-15,2.17E-15,,2.17E-15,2.17E-15,,2.16E-15,2.16E-15,,,,,,,,,,,,,
10.0,2.59E-15,2.59E-15,,2.60E-15,2.60E-15,,2.60E-15,2.60E-15,,2.59E-15,2.59E-15,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
